"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_1B_010523",345.703264798322,-4.90324169296409,0.422919655959172,-11.5937900352341,4.43083111868892e-31,6.38232719342801e-30
"Et_2B_022340",162.894466579359,-3.49326929155085,0.301345742073538,-11.5922304642963,4.51226793561979e-31,6.49742017813642e-30
"Et_6A_046732",92.1574720888165,-2.5720000879819,0.221892296928241,-11.5912094452457,4.5663859853211e-31,6.57311071084316e-30
"Et_3A_023160",199.729874264219,7.24863190153312,0.625448167490473,11.5895005826259,4.65840783947335e-31,6.70329206958558e-30
"Et_8A_057590",2584.24798860415,-4.18238469170473,0.360895757273497,-11.5888995850267,4.69120706508664e-31,6.74819452734421e-30
"Et_9B_064298",194.722041291336,3.3648947065685,0.290394919791151,11.5873056904318,4.77930769822952e-31,6.87258925549009e-30
"Et_1A_006922",226.345956167092,-3.22976709057052,0.2787564548173,-11.5863400999534,4.83347642985073e-31,6.94812236791042e-30
"Et_3B_027942",77.653307612844,-5.92217121682085,0.51114513861961,-11.586085378439,4.84786738134027e-31,6.96644304170867e-30
"Et_10B_004089",76.7163578512113,-4.63877994833242,0.400410049502662,-11.5850737365211,4.90544304900296e-31,7.04678716340141e-30
"Et_9B_066185",3228.68312594477,-2.60180382136286,0.224588384502291,-11.5847657354529,4.92310676133649e-31,7.06976172852935e-30
"Et_7A_052177",91.4956925417654,3.375790388347,0.291436089100707,11.5832956678899,5.00828817287629e-31,7.18964570814533e-30
"Et_8B_060720",111.713762882681,-2.50035841648579,0.215910156288054,-11.5805502597569,5.17130416698188e-31,7.42114589171493e-30
"Et_9A_060880",42.4607731673818,-4.20420409300276,0.363139569109295,-11.5773780954656,5.36622835568399e-31,7.69826386483208e-30
"Et_2A_016186",183.507298617355,7.78926900107973,0.672852252682048,11.576492417215,5.42194251774547e-31,7.77555429857635e-30
"Et_3B_029338",99.0382273731892,4.95877461494508,0.428381658691323,11.5755997352777,5.47867827389518e-31,7.85425692924269e-30
"Et_10A_000999",66.0901818137959,-5.39603172294333,0.466179882700713,-11.5749991005244,5.51718380751212e-31,7.90678018062691e-30
"Et_1B_013580",1141.76918080651,2.46524693890647,0.212989214400033,11.5745153849729,5.54838907667001e-31,7.94880926623815e-30
"Et_7B_054915",418.131312072982,6.38766378858808,0.551913808164144,11.5736618546212,5.60387962471288e-31,8.02559004121317e-30
"Et_2B_021325",329.293073078081,-2.74376375537865,0.237091399040745,-11.5725992865187,5.67373072924697e-31,8.12287836474059e-30
"Et_3B_028592",102.185110158211,-4.55938462243906,0.393982814637621,-11.5725469564776,5.67719304461549e-31,8.125086562331e-30
"Et_1B_012100",929.92098706568,-1.36588163393091,0.118029084951943,-11.5724156845496,5.68588762900122e-31,8.13477905542026e-30
"Et_9A_061372",322.270789357753,3.26555310722898,0.282236566128842,11.5702694091673,5.8299320640745e-31,8.33804410110283e-30
"Et_6B_048298",220.025412197446,-7.2380347741406,0.625736686167054,-11.5672213794546,6.04074229256073e-31,8.6366288453098e-30
"Et_3B_029268",112.405135987281,2.24641530129118,0.194221708404503,11.5662421041658,6.11006466997116e-31,8.73279084205266e-30
"Et_8A_056046",135.305158732581,-8.30808503522706,0.718403940116258,-11.5646429136825,6.22497223427568e-31,8.89401839819537e-30
"Et_1B_010286",491.112579910361,2.94999060618921,0.255102601773493,11.5639377477166,6.27632001735181e-31,8.96435582633576e-30
"Et_10A_001766",105.726336102866,-3.14467444830776,0.271959387387642,-11.5630296071576,6.3430675678362e-31,9.05663358538556e-30
"Et_5B_044528",199.251438709524,3.01911800372488,0.261115534850583,11.5623836990492,6.39096961451935e-31,9.1219505594084e-30
"Et_3A_023817",705.364938536092,-7.67752785831594,0.664104774339093,-11.5607177586647,6.51618358071457e-31,9.29753503492382e-30
"Et_3B_030720",613.832426884253,-1.40721945133087,0.12173016780845,-11.5601537126378,6.55912735419547e-31,9.35565452071292e-30
"Et_8A_056052",120.369656761253,6.16702210903463,0.53348030823585,11.5599807787248,6.57234990239858e-31,9.37135606029339e-30
"Et_1A_007900",2816.72705222491,-1.76094211749695,0.152396818706255,-11.5549795097177,6.96640972635569e-31,9.92989085952754e-30
"Et_3A_025748",183.909282310692,3.19411896061783,0.276477520721903,11.5529065519604,7.1365370175437e-31,1.01689645313956e-29
"Et_9B_065575",1427.62874135242,3.47297016192975,0.300636941727466,11.5520406174105,7.20881949604997e-31,1.02685035702738e-29
"Et_8B_060220",127.228098282095,-2.96506666836378,0.256675067020821,-11.5518297229986,7.22653333151189e-31,1.02902722271058e-29
"Et_1B_011468",83.0856824220929,4.70098352929227,0.407065516995851,11.5484690621441,7.51470920909546e-31,1.06970229979455e-29
"Et_5A_041261",115.675479887785,2.69635429654093,0.233488499281769,11.5481246606799,7.54487835458987e-31,1.07363568246887e-29
"Et_6B_049321",303.010985335606,2.37498186707306,0.205666306255009,11.5477440632803,7.57835808382119e-31,1.07803735834391e-29
"Et_4B_038228",80.6316685964053,2.77413349910946,0.240233581390442,11.5476507616176,7.58658796406073e-31,1.0788454389753e-29
"Et_5B_045511",77.9952363898935,6.02350585717472,0.521666410219364,11.5466622714731,7.67432670122166e-31,1.09095568020054e-29
"Et_2B_022967",334.740567806235,-1.39388149630975,0.120731006522623,-11.5453480962122,7.79253490275004e-31,1.10738776724104e-29
"Et_5A_040166",97.7026496745428,-5.64872671539848,0.489277790213527,-11.5450298958661,7.82142730133509e-31,1.11112052162639e-29
"Et_3B_028295",186.966871280882,-3.21751201539611,0.278696482816301,-11.5448604979952,7.83685187334622e-31,1.11293815865776e-29
"Et_7B_053569",174.894211159468,3.73258192255392,0.323356806721151,11.5432297850861,7.98688998762465e-31,1.13386509317771e-29
"Et_7A_051852",79.4858273004277,-3.70429306160186,0.320953928684496,-11.5415102621886,8.14818850704727e-31,1.15637604835091e-29
"Et_9B_064650",576.958991646582,-2.63238089584015,0.228144389033482,-11.5382232584902,8.46557492834137e-31,1.20101619499634e-29
"Et_1A_005926",59.6130215373199,-3.80833714613786,0.330085161187193,-11.5374381945577,8.5431767470763e-31,1.21161943678374e-29
"Et_2B_021341",119.263109897515,-5.71329833109996,0.495207612684752,-11.5371779123618,8.569060603622e-31,1.2148832319775e-29
"Et_7B_055597",90.8130208121724,-7.2289912782655,0.626617095720658,-11.536536949972,8.63313370239968e-31,1.22355732848478e-29
"Et_1A_007942",362.734940275353,-3.059658753406,0.265222166356401,-11.5362105492136,8.66594451583365e-31,1.22779635724834e-29
"Et_7A_052173",85.5737541289843,-6.75576005781933,0.585757745166616,-11.5333687237848,8.95689456150389e-31,1.2685936340122e-29
"Et_7A_050916",156.769533170129,-3.77926216581134,0.327733188564787,-11.5315210594372,9.15124152699705e-31,1.29568598669292e-29
"Et_8B_060165",227.176548111414,5.24830983821199,0.455133647862331,11.5313597728101,9.16840383242109e-31,1.29768177320422e-29
