"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_3A_026764",25252.3710935329,7.75056846803081,0.24105081490662,32.1532556155568,7.95358492623249e-227,1.60283673370552e-223
"Et_4A_034858",3126.50575151375,7.47231338582197,0.233317379573523,32.0263899735223,4.68091856179105e-225,9.00438516068169e-222
"Et_8A_057752",26346.9602513645,7.54314752962543,0.236264297372519,31.9267346506109,1.1366317333832e-223,2.0914023894251e-220
"Et_5B_044772",22370.2223384883,7.63922503076056,0.239584221105423,31.8853428473452,4.26316786805932e-223,7.51738600734459e-220
"Et_8B_060120",26386.0582099262,7.63370106553191,0.241845552632512,31.564364043243,1.13904504366743e-218,1.92817544992023e-215
"Et_2A_018854",24024.3630250268,7.53598937757034,0.23899662010276,31.5317822249124,3.18710990518894e-218,5.18763427644599e-215
"Et_7B_053707",8473.50310290536,7.64346494687686,0.244012657060048,31.3240511331178,2.19572251484323e-215,3.4415917343765e-212
"Et_10B_002750",17834.4081390866,7.23411634704204,0.231390429161302,31.2636800634444,1.4551303011137e-214,2.19932551225471e-211
"Et_5B_044511",2321.02763594263,-7.24328163053423,0.231965192049921,-31.2257264399195,4.76909901375432e-214,6.95959552627872e-211
"Et_2B_018929",8987.76490431436,7.43252557982778,0.239624551057122,31.017379258672,3.14297823401915e-211,4.43369462878968e-208
"Et_8B_059454",17376.9207190646,7.24895629982415,0.235758417055656,30.7473912929814,1.32501941506293e-207,1.80886521436978e-204
"Et_10A_000597",14898.0306088142,7.45644004316573,0.243686074711188,30.5985479556144,1.27962418588461e-205,1.69230298583239e-202
"Et_6B_049438",1451.75731270141,-6.94973455187276,0.228625530333489,-30.3978936286573,5.85655400499308e-203,7.51058683306991e-200
"Et_10B_003409",1607.73051045468,7.88682075572134,0.260876501972142,30.2320090008089,8.99470271686788e-201,1.11957593817014e-197
"Et_7B_053938",6163.44946265023,7.16548579432188,0.237529208741314,30.1667564687827,6.46752127974317e-200,7.82015715882089e-197
"Et_4A_035748",1636.59074280958,8.20397951367534,0.273792786360129,29.9641916163721,2.87475834226493e-197,3.37943814012921e-194
"Et_4B_039023",5761.91751723125,7.81227043797508,0.260820980748161,29.9526150678741,4.06807164334068e-197,4.65299437692372e-194
"Et_5B_043598",7759.34403732159,7.56340776653427,0.254592996451655,29.7078390684266,6.08194652350368e-194,6.77336781249146e-191
"Et_10B_002801",4478.46002143728,7.75053263293034,0.262324626295328,29.5455777156229,7.4849089888142e-192,8.12208585657992e-189
"Et_10A_000923",8489.51389763865,7.72452105718636,0.261846517829674,29.5001862969628,2.8631523978225e-191,3.02921523689621e-188
"Et_5B_044860",19007.4832740565,7.69311854404956,0.26125643466763,29.4466184300369,1.39093863460354e-190,1.43572007357126e-187
"Et_2B_021195",20450.2353155008,7.41512355669801,0.254025264671685,29.1904963322514,2.56015964844208e-187,2.57966562671592e-184
"Et_2A_017196",19539.127736928,7.49635300943949,0.257448150874529,29.1179135836674,2.12986936581267e-186,2.0961877107254e-183
"Et_1B_012551",6516.07133277382,7.34040093377632,0.253136944119017,28.9977464937915,7.02444453280867e-185,6.7562384688287e-182
"Et_4B_039550",1133.86432860747,6.4047969859825,0.22227295320073,28.8150082758764,1.39131237804735e-182,1.30845199642142e-179
"Et_6A_047391",2398.99623513835,7.26098696353404,0.252999429428964,28.6996179395446,3.85735344650036e-181,3.54876517078033e-178
"Et_5A_041071",1112.06496542127,-7.50880368643504,0.261818137793549,-28.6794633470197,6.8819918562212e-181,6.19672117777194e-178
"Et_1A_007749",6728.04416439489,7.58329568600406,0.265806035949331,28.5294337238061,5.05554074066917e-179,4.45730175302332e-176
"Et_7B_055941",3159.11835452451,-7.36861732066636,0.258542393106431,-28.5006154392367,1.15103551215004e-178,9.94118834167135e-176
"Et_8A_057349",3996.45285648436,7.95908354355006,0.279576945523918,28.4683113932553,2.89202432018803e-178,2.44780938460715e-175
"Et_7A_051203",7261.39966238597,7.78464913000706,0.274791617230044,28.3292816879857,1.50673702801221e-176,1.25029629461719e-173
"Et_6A_047561",9238.56177798665,7.55234057628974,0.267030260779226,28.2827143045553,5.63909576489855e-176,4.58935639943282e-173
"Et_6A_046971",6749.56051178136,-6.95372656757307,0.246399256142392,-28.2213780854702,3.19688839532306e-175,2.55268522434098e-172
"Et_5A_042942",20311.2617475469,7.52323141709816,0.267695030238726,28.103739581527,8.81769782437025e-174,6.91046244309906e-171
"Et_7A_050970",7696.58158185971,7.53219138830527,0.270188524760948,27.8775399324211,4.99550863380287e-171,3.84381682513705e-168
"Et_10B_003090",6554.64011596489,7.51449704519533,0.269851515224151,27.8467846991833,1.17817007701395e-170,8.90359958200544e-168
"Et_4A_033980",1788.40038730446,7.73570553119163,0.278746467683518,27.7517616473424,1.65923812132877e-169,1.2319115314848e-166
"Et_9B_064934",7231.56327288121,7.42486035057404,0.268941824353829,27.6076819528287,8.99843845589474e-168,6.56575716299078e-165
"Et_6B_049196",2610.20685377213,7.34664973126932,0.267374548789512,27.4769972105793,3.30678648809283e-166,2.37191871484896e-163
"Et_5B_044851",6719.42326023432,7.37950186709472,0.268764452890195,27.4571350033021,5.71020344321452e-166,4.02759682861398e-163
"Et_4B_037746",2451.09399130278,7.59868028627114,0.276913857091148,27.44059241416,8.99735825640769e-166,6.24210166247825e-163
"Et_6B_050063",8453.0058313223,7.51259165554176,0.274283751506535,27.3898530783468,3.62270863544921e-165,2.4727907976163e-162
"Et_9A_062384",6465.66202469692,7.55257858956162,0.276183382386974,27.3462455426784,1.19683339224265e-164,8.0396808190014e-162
"Et_4B_039718",10663.7474894069,7.13854178217968,0.261055133012882,27.3449585142898,1.23976362378558e-164,8.19793696228215e-162
"Et_3B_031748",2317.31164477526,7.17512439743677,0.262981140400025,27.2837983230379,6.60420457209154e-164,4.29984519216791e-161
"Et_4A_035545",11700.6351543666,7.54341322748858,0.27672924697148,27.2591831548113,1.29345111357161e-163,8.29376532217433e-161
"Et_1B_014172",3152.94344247647,7.63459828577691,0.285738641456776,26.7188163520817,2.84547688498653e-157,1.7973221160094e-154
"Et_9B_065999",3884.03168161893,7.54272902268526,0.282524072029301,26.6976508178849,5.01189943889833e-157,3.11917035667908e-154
"Et_8B_060551",3329.71749076066,7.23679958694934,0.271514077475857,26.6534967697681,1.63022012718719e-156,9.99868344674807e-154
"Et_5B_043129",4328.56730493058,7.08876166565904,0.266534251215657,26.5960627323781,7.53858705140494e-156,4.55761434307796e-153
"Et_10B_003092",8247.17568721539,7.50974149242494,0.282563745243172,26.5771586725045,1.2470161247085e-155,7.43291864755828e-153
"Et_2A_014534",8312.22328480623,7.42725748342785,0.279614737152712,26.5624679123097,1.84344427271651e-155,1.08353557807448e-152
"Et_2B_022160",13523.9431234517,7.49043313402979,0.28247526739987,26.5171291029398,6.15104564545019e-155,3.56592125637605e-152
"Et_5A_041835",1010.82529235743,5.40245236447084,0.204096156125169,26.4701328385508,2.1402176633713e-154,1.22397312856585e-151
"Et_6A_046483",1780.89218659795,-6.90700232956128,0.261173758893463,-26.4460042188954,4.05606616090596e-154,2.28870293239387e-151
"Et_5A_042094",20321.4802751208,7.53706109737764,0.285025925521083,26.4434229398551,4.34302928307527e-154,2.41838156920717e-151
"Et_7B_053366",5141.02959555661,7.6562630319439,0.290042617883442,26.3970277465247,1.48217339213075e-153,8.14617895519135e-151
"Et_2A_014512",47696.2705324913,6.8348711765635,0.258945307706508,26.3950377672425,1.56222681908133e-153,8.47608192096436e-151
"Et_10A_000918",7103.0397308592,7.57182730788366,0.287198046322827,26.3644805555972,3.50208739157742e-153,1.87605491660198e-150
"Et_9A_062162",696.334839192708,-6.93827599276917,0.263825421783614,-26.2987393173197,1.98245555467734e-152,1.04871898842431e-149
"Et_5B_044189",9358.47220100914,7.11867828043527,0.271357198970904,26.2336076117832,1.09964168137881e-151,5.74528838962359e-149
"Et_7B_054424",8320.51694966681,7.08000612814434,0.270074987695775,26.2149641792063,1.79428023515291e-151,9.26023653069163e-149
"Et_3B_027897",4929.5379478228,6.51590657433948,0.249305013713646,26.1362837324391,1.41132052842623e-150,7.19603430879496e-148
"Et_2A_018080",16849.0405905112,7.45670504240133,0.285784294224461,26.0920743130295,4.48485651716565e-150,2.25951342626727e-147
"Et_9B_065278",604.761578062887,-5.53071486883262,0.21311715805441,-25.9515231871692,1.74772490635963e-148,8.70161388672229e-146
"Et_5A_042936",7216.52487154246,7.70168046708705,0.296776985790187,25.951070453057,1.76841085284703e-148,8.70222642935887e-146
"Et_10A_002169",2328.8772830351,7.81321097297095,0.302040181089553,25.8681177609756,1.52189910188596e-147,7.40307701055333e-145
"Et_8B_058740",2999.10251694079,7.42171393558301,0.287113781155503,25.8493824494037,2.47231035103322e-147,1.18895652336052e-144
"Et_1A_004862",1794.37101200966,-7.07425620306903,0.273789690990169,-25.8382855011259,3.29487712426243e-147,1.56673258313243e-144
"Et_1A_006266",721.201842191237,-7.07514852024434,0.274528175490272,-25.7720305305968,1.82588284850271e-146,8.58570690540383e-144
"Et_1A_008872",3177.60439674019,-7.52317873712315,0.292592420150287,-25.7121450147579,8.55025601443738e-146,3.97633884099989e-143
"Et_7B_053948",10046.1167804073,7.78809290657202,0.303220072875583,25.6846218415349,1.73628015048612e-145,7.98688869223615e-143
"Et_10A_002263",791.91277739843,8.01060964024283,0.312199434984967,25.6586295251577,3.38725357919759e-145,1.54138248894239e-142
"Et_8B_060154",569.774644675417,-6.92965222344696,0.27046189777651,-25.6215469920762,8.77810686692839e-145,3.95201577242989e-142
"Et_3B_028968",1941.38461283946,-6.52634708362162,0.254734469179633,-25.6201962170239,9.08769555750427e-145,4.04832922098506e-142
"Et_2A_015639",1549.18405710711,7.47466784776,0.293150304669653,25.4977318075214,2.08880369743968e-143,9.20814296621327e-141
"Et_5A_040936",7510.90874035235,7.58995803606242,0.297964346855205,25.4727054299243,3.95655306406473e-143,1.72619923372391e-140
"Et_7B_055505",1885.77462126329,-6.87583261133851,0.270005746002859,-25.4655047647235,4.75430043471684e-143,2.0530815754818e-140
"Et_9B_064381",737.948779904362,-6.58752561215335,0.258771832040458,-25.4568882563826,5.92258824207959e-143,2.53175691317988e-140
"Et_3B_030173",2213.90390235944,7.48468578839248,0.294211950611274,25.4397748726447,9.16096053176492e-143,3.87691849704291e-140
"Et_2A_014514",44663.2715565202,6.83614028872801,0.268834411151627,25.4288141887919,1.21115302865694e-142,5.07485110621401e-140
"Et_4A_033599",1681.39043578692,6.24498979341707,0.245734933716541,25.4135205726213,1.78774341141427e-142,7.41738246775017e-140
"Et_8A_057799",1481.26965847997,-5.35135530781596,0.210610611099674,-25.4087639738311,2.01780720429153e-142,8.29064086268133e-140
"Et_6B_049454",6033.64641631389,7.45970944274347,0.294790658389227,25.3051079824044,2.80639260406782e-141,1.14198591350144e-138
"Et_2B_019764",1124.40514786299,7.21947658972817,0.285578645546066,25.2801695866423,5.27849309979422e-141,2.12748407603135e-138
"Et_9B_066210",31838.6555691209,7.38753122977193,0.292759038099302,25.2341696356651,1.68995132717292e-140,6.74705095905265e-138
"Et_1B_013671",760.002333846416,-7.79791644555699,0.309028382024927,-25.2336578098771,1.71195384189044e-140,6.77101743820593e-138
"Et_7A_051207",10554.2044770407,7.66050773723866,0.303773203421615,25.2178521704775,2.55223415901795e-140,1.00009768157074e-137
"Et_7B_054735",505.005398251213,4.39236163927074,0.175719272260772,24.9964706930516,6.67820464292161e-138,2.59285890356369e-135
"Et_8A_056324",3653.41754331335,7.38379279834536,0.296219032217094,24.9268007632065,3.81187691558264e-137,1.46653300970416e-134
"Et_3B_029850",454.530738011563,-6.00796867738277,0.241238969238084,-24.904635832088,6.62773839834832e-137,2.52689990106397e-134
"Et_10B_004374",616.692312914621,7.70955293525131,0.310107836568803,24.8608774952413,1.97241667657728e-136,7.45291729935271e-134
"Et_6B_048441",849.879922442188,-7.33089458863016,0.296991234918006,-24.683875235086,1.59357198444134e-134,5.96813861783694e-132
"Et_7B_055072",2602.47740587234,8.18129551290302,0.332285215840042,24.6213045988823,7.47105391449852e-134,2.77346492685594e-131
"Et_1A_004525",1837.16739226744,-7.17769624630055,0.292133597186594,-24.5699101898094,2.65013455945794e-133,9.75249517880524e-131
"Et_8A_056723",511.872508176297,-6.75050851053089,0.275008752044613,-24.5465224664406,4.711095125062e-133,1.71873746286745e-130
"Et_4B_036959",22805.4220133621,7.51968348774552,0.306437228378098,24.5390663776248,5.65882597446245e-133,2.04685055760043e-130
"Et_8A_057694",1566.8031528482,5.25039059233868,0.214071598950179,24.526329592935,7.7384514967703e-133,2.77534972324847e-130
"Et_6A_047228",2566.7388208966,6.68210933154542,0.272625062228512,24.5102533014538,1.14847299734443e-132,4.08431741576606e-130
"Et_5A_042998",4969.40093264378,6.95956667557132,0.284351246908943,24.4752458490184,2.71091595971217e-132,9.5604969512516e-130
"Et_3A_024555",4310.05867483814,7.41342612920229,0.303406405733084,24.4339802625133,7.4491680882033e-132,2.60536192969226e-129
"Et_7A_051838",6794.3609285853,7.23023796885402,0.296280866543135,24.4033239581516,1.57673171303175e-131,5.4694496799593e-129
"Et_3B_029201",5063.21122588969,7.14237625591556,0.292922803778807,24.3831349549314,2.58223175346861e-131,8.88455673225948e-129
"Et_6B_048912",421.052091864585,-5.05590462553852,0.207605539730012,-24.3534186617258,5.33348194407525e-131,1.82026577317149e-128
"Et_3A_023610",978.559961738339,7.05557660556873,0.28982076265252,24.3446209339667,6.60997884830023e-131,2.23787443888053e-128
"Et_9B_064693",782.918892427202,-6.57077251460567,0.270491164033609,-24.2920042807359,2.38142724555015e-130,7.99857151045098e-128
"Et_7A_052828",1883.88487211804,6.63385788933347,0.273865016023082,24.2230934993696,1.2706807376279e-129,4.23426841074114e-127
"Et_1B_014290",9869.01616343222,7.13031199753896,0.294379112275598,24.2215282953349,1.31986575326801e-129,4.36380614674237e-127
"Et_1B_013389",1239.05556476393,6.33351148985927,0.261660952898243,24.2050310514703,1.96926708345002e-129,6.46041728462052e-127
"Et_1B_011184",895.588723143201,-5.18650965112616,0.21441606185846,-24.1889978118798,2.90454959177396e-129,9.45542605568263e-127
"Et_6B_049804",951.636110633223,-6.53804347089448,0.270491421761018,-24.170982681554,4.49347580599091e-129,1.45163279472928e-126
"Et_5A_041874",635.046419624232,-5.76571918623387,0.238562374006864,-24.168602489125,4.76002740167848e-129,1.52609363362904e-126
"Et_9A_063593",30805.2633738372,7.43212940321028,0.307811455365875,24.1450708661125,8.41212238893754e-129,2.67669939473562e-126
"Et_10A_002108",1209.56362010204,8.5880851082348,0.357126560360551,24.0477356250523,8.81578224532454e-128,2.78420824344877e-125
"Et_8B_059839",967.018214239692,7.17625862853354,0.299291212359346,23.9775119755849,4.77372502644834e-127,1.49647439347625e-124
"Et_10B_002782",4493.97684974285,7.31331513370927,0.305532780515284,23.9362700178203,1.28439331941792e-126,3.99672979983576e-124
"Et_4B_039850",890.669535941994,8.18063059953357,0.341807630118713,23.9334347120699,1.37474348278425e-126,4.24665286068828e-124
"Et_3A_023204",2088.37623097501,7.78223068245079,0.326661238785416,23.8235510016018,1.90432049675175e-125,5.83991619003871e-123
"Et_1A_006757",2342.29849460598,7.13865993068219,0.300863739754577,23.7272192937088,1.88872339904963e-124,5.75041541350937e-122
"Et_4A_033422",1208.0100645897,4.87748118312373,0.20618943580387,23.655339877661,1.04003533552031e-123,3.14387824280141e-121
"Et_4A_035582",8989.86083422429,6.9772151376489,0.295224930286023,23.633556728726,1.74232990065148e-123,5.22946109188445e-121
"Et_4B_038638",1483.61091335743,7.92175228213527,0.335925907464619,23.5818438117031,5.9193639738986e-123,1.76413720686894e-120
"Et_1B_013486",1935.82170508765,-5.00489325646995,0.212840026530256,-23.514812218643,2.87761617638061e-122,8.51613402688304e-120
"Et_4A_035778",567.230938180144,6.74636195818635,0.287201991979017,23.4899553157668,5.16658817705067e-122,1.51840285869989e-119
"Et_9B_066053",831.590772284932,-4.77454803190638,0.203667156166094,-23.4428963500264,1.56194421464606e-121,4.55872270095318e-119
"Et_2A_017167",2586.95078237848,8.3566964698944,0.356936249301029,23.4122941737044,3.20325751564446e-121,9.28505877137491e-119
"Et_1B_012340",363.367254564023,-4.38117395554999,0.18735328146108,-23.3845594877404,6.13676246732258e-121,1.76671964365368e-118
"Et_10B_004271",16064.432312548,7.72304517953519,0.330579202171657,23.3621629213229,1.03681135048418e-120,2.96472002381694e-118
"Et_3A_025803",2050.73085761182,6.72177159514013,0.28829850345394,23.3153190689872,3.10007516276053e-120,8.80504569718294e-118
"Et_3B_031623",1345.79826923838,5.64754698787821,0.242781037319103,23.2618949578639,1.07820757954919e-119,3.04198298443478e-117
"Et_6B_048573",794.447881204438,6.42801849374911,0.276975036339245,23.2079344720292,3.7862692370211e-119,1.06115837159426e-116
"Et_4A_032871",15718.0169551548,7.4842034890925,0.323288249830389,23.1502490208631,1.44537953774723e-118,4.02424092351727e-116
"Et_1B_014455",2856.06293629437,7.37735731537839,0.318771736049618,23.1430722397235,1.7071057121439e-118,4.72187671489737e-116
"Et_4A_035194",1717.4048578499,6.31564503421631,0.273102040884515,23.1255871020274,2.56013328373553e-118,7.03537925764204e-116
"Et_6A_047614",496.275612548877,-6.33265735248241,0.27414881655678,-23.0993422916011,4.70098889486282e-118,1.28352161310061e-115
"Et_3B_029231",3096.46696484778,7.86478645053333,0.34158398184235,23.0244591918925,2.6521466353571e-117,7.19479779540465e-115
"Et_5A_042278",11555.5510477136,6.23746019340715,0.2709373843996,23.0217775491907,2.821377331695e-117,7.6051394061995e-115
"Et_7A_052634",725.255015581918,-6.53661882121472,0.284043835004949,-23.0127114749765,3.47743042317739e-117,9.3142313613207e-115
"Et_3A_027370",1331.4873559184,6.41140116423342,0.27978971010663,22.9150713290706,3.28754860160871e-116,8.75025514591702e-114
"Et_7B_053309",2408.08695134797,7.02476487725496,0.306882376047696,22.890740640522,5.74565537260654e-116,1.51972584605443e-113
"Et_4B_036214",1296.49708458945,6.47351171396032,0.282809493680924,22.8900084990215,5.84294434686577e-116,1.53585965689043e-113
"Et_6A_047555",1113.74163311516,-5.03477202919324,0.220675066767373,-22.8153189345161,3.23090136958537e-115,8.44023123215142e-113
"Et_5B_045744",4325.20230532337,6.93113743818137,0.304158094426132,22.7879433925921,6.03855165646997e-115,1.56780065093134e-112
"Et_6B_049985",13853.9618075765,7.28334575928983,0.31964262433049,22.785902770462,6.32653631903768e-115,1.63255498183948e-112
"Et_1B_010910",490.317176015452,-7.26392097009797,0.319486127954494,-22.7362640644372,1.9624055799497e-114,5.0332729783922e-112
"Et_2A_016149",5681.57653059943,7.10962611240296,0.312806498161975,22.7285115692242,2.34138705162567e-114,5.96912650751797e-112
"Et_6B_048627",682.185565082059,7.56031427920913,0.333713507551417,22.6551041780779,1.24250234405473e-113,3.14866462277821e-111
"Et_7B_055537",5654.40075703571,6.40147916222836,0.283254940590496,22.5997087601837,4.36239268926286e-113,1.09890749172384e-110
"Et_1B_014385",951.943069491624,7.12629817633965,0.315424409101524,22.5927289414243,5.10921563300088e-113,1.27942015141182e-110
"Et_7A_051814",282.493486129911,-5.64257650575083,0.249990136807905,-22.5711965191917,8.31648817914904e-113,2.0703163514211e-110
"Et_3B_028866",575.671672792127,-6.89145999748278,0.305332678156871,-22.5703322653927,8.48063291080569e-113,2.09883265956314e-110
"Et_1B_009971",1754.17880861019,-7.57081763093766,0.335560312038969,-22.5617194862378,1.03038897097388e-112,2.53523611927992e-110
"Et_5A_041503",13302.6860388531,6.54185630665659,0.29090689779168,22.4878005860873,5.46416175847638e-112,1.33666662207353e-109
"Et_4A_031995",891.159777654369,6.81500829766755,0.30311020349086,22.4835990975575,6.00666842278769e-112,1.46093222788721e-109
"Et_3B_029809",3140.92544915225,7.4382494524418,0.330852960661578,22.4820398692161,6.22140139148833e-112,1.50451261078735e-109
"Et_8B_060522",492.612285737149,-6.6379751969479,0.295731630923496,-22.4459425466906,1.40200116470572e-111,3.37117552786058e-109
"Et_4B_037052",1141.02030771584,6.99964410251463,0.312407244270706,22.4055114946352,3.47777299121712e-111,8.31521768295529e-109
"Et_7B_055599",345.028347639478,-5.08100820536139,0.227067154885849,-22.3766762212514,6.64143577372844e-111,1.5790200109224e-108
"Et_2B_022397",1823.025626594,5.98205473856473,0.26743227117213,22.3684849713386,7.98011043529236e-111,1.8866942660423e-108
"Et_3B_027425",923.050206722004,7.6044332294791,0.340311289040711,22.3455215103646,1.33480389458529e-110,3.13827226771386e-108
"Et_4A_032273",2123.62368956833,7.36755585066744,0.330623944709726,22.283793925258,5.30669671952583e-110,1.24077019431123e-107
"Et_9B_065280",360.810090493235,-5.59865642974903,0.251980550973873,-22.2186053967695,2.27010338399521e-109,5.27861402256469e-107
"Et_7B_053509",2336.15682061532,6.65910212398848,0.2999761201837,22.198774088786,3.52945020052346e-109,8.16209467137447e-107
"Et_1B_010962",1444.30386792921,6.41793840223631,0.289360342788417,22.1797442607025,5.38842999431296e-109,1.23933889869198e-106
"Et_6A_046619",14257.2424378986,-6.42293392824985,0.289667039867854,-22.1735062821783,6.18960657937354e-109,1.41591432669777e-106
"Et_2B_021892",2204.50159001161,7.8338670339686,0.353384882572768,22.1680876016406,6.98141357974056e-109,1.58845926179903e-106
"Et_1B_011174",669.672553480336,-7.24909580731523,0.327474510511508,-22.1363665709197,1.4116849306376e-108,3.19478643126114e-106
"Et_2B_020253",5439.0490607435,7.12346359777642,0.321804879954029,22.1359713339152,1.42411532020432e-108,3.2057744867578e-106
"Et_4A_034438",904.192133823916,-4.44624942728609,0.201614654776935,-22.0532055678462,8.8991620339236e-108,1.99265892738437e-105
"Et_5B_045212",3573.96440573615,6.97057223070388,0.316481191925569,22.0252337533639,1.65055731949248e-107,3.67639925057483e-105
"Et_2A_016833",1864.21389809941,7.6220608838077,0.347287097550818,21.9474346659031,9.16281798050766e-107,2.03021181641405e-104
"Et_2A_017874",2184.88250936736,7.93739469205593,0.362933782718415,21.8700905509649,5.00580509774118e-106,1.10336287362712e-103
"Et_2B_020419",2788.7556364665,6.98584465080869,0.319698547059964,21.8513493885175,7.54697869534284e-106,1.65486082065756e-103
"Et_8B_059344",584.681707379249,7.10665381602889,0.325330794775199,21.8443932457717,8.78847576964607e-106,1.91715615758465e-103
"Et_1A_006792",1043.32778221542,-6.8043159979595,0.312280224102774,-21.7891351189762,2.94153636336354e-105,6.38388814859206e-103
"Et_6A_047074",703.347798312717,-7.36788140271339,0.338171567340228,-21.7874064950609,3.054679722587e-105,6.59561458468784e-103
"Et_5B_044164",13964.0436396846,6.73273998449606,0.309146345803104,21.7784880070495,3.71119312267311e-105,7.97247172342771e-103
"Et_6A_048031",2676.41132509617,7.06807822069142,0.324875464336902,21.756269698969,6.02552253250946e-105,1.28787936149394e-102
"Et_9A_062463",1378.35212601282,-5.4649941193414,0.251329731226785,-21.7443200717472,7.81823809053616e-105,1.66265244216829e-102
"Et_4A_034495",1307.14883850042,6.35712897304853,0.292441327202383,21.7381347358238,8.94611466797092e-105,1.89299786374265e-102
"Et_3B_030026",2967.67740043218,6.83370392267799,0.314538370461328,21.7261376176621,1.16172615885105e-104,2.44598263893414e-102
"Et_5B_044936",5269.40368588787,5.5104543255055,0.253725744759361,21.718152136007,1.38228072452093e-104,2.89594654761018e-102
"Et_10A_001010",757.06043300664,5.98583284199234,0.276298065868682,21.6644037053711,4.44630956780104e-104,9.26935078371134e-102
"Et_1B_012519",729.312411946549,7.42492131093607,0.343113300924255,21.6398527569037,7.57447332659494e-104,1.57133191755636e-101
"Et_10A_000631",3103.45532859996,7.44670158699242,0.344128719899115,21.6392912197956,7.66727355666989e-104,1.58282447277205e-101
"Et_2B_021328",588.669941541418,8.05638372181625,0.372580846046808,21.6231827462331,1.08715450395391e-103,2.23341643724901e-101
"Et_9A_062979",419.582216634417,-3.84371064368875,0.177826339233377,-21.6149680652444,1.29892358330383e-103,2.65557710364338e-101
"Et_2B_019557",451.59158964224,-6.35769406201534,0.295095215702972,-21.5445514657705,5.95575769237432e-103,1.21176762279462e-100
"Et_6A_047236",2723.06899531871,7.24749103612504,0.336661449641372,21.5275346905487,8.59877041011614e-103,1.74114815194313e-100
"Et_2A_016827",1534.51189592842,6.8332906218461,0.317677731383147,21.5101341604727,1.25141938282535e-102,2.521908013389e-100
"Et_10B_002799",3145.12722988579,7.60288095027855,0.354156651563068,21.4675650357639,3.12993560405799e-102,6.27767178975044e-100
"Et_4B_035992",1436.02361978014,7.48345507479724,0.349968472991638,21.3832263541523,1.91427007973305e-101,3.82131649878785e-99
"Et_1B_013819",524.251388105948,-7.86180585771816,0.367722898993986,-21.3797016156091,2.06445154926735e-101,4.1017647683096e-99
"Et_10A_000652",3291.87758249248,7.56284768835887,0.3544680839349,21.3357648575995,5.28727196017686e-101,1.04559509044245e-98
"Et_7B_055021",1373.7176254628,-7.56334672276166,0.355155956490389,-21.2958464712285,1.24045028682e-100,2.44166772735919e-98
"Et_3A_023080",489.106959789653,7.45132455398293,0.349904442569623,21.2953127981514,1.25465956984576e-100,2.45820337943855e-98
"Et_3B_030746",3746.36407976295,-7.29703546711585,0.343497251253659,-21.2433591258268,3.79739901824247e-100,7.40580306230513e-98
"Et_1B_012702",661.720032819409,-7.0070628277882,0.329854780583857,-21.2428718340398,3.83699994699917e-100,7.44870815399104e-98
